ronaldgrant_	stupid love.	6 de marzo de 2020	https://instagram.fgye1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/87604019_213520149847510_5799658467006272070_n.jpg?_nc_ht=instagram.fgye1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=0BllCZNS_2YAX8_2KJ_&oh=dc3ca61490de3c39f70df4403d4a9c38&oe=5EE89C9F https://instagram.fgye1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/87604019_213520149847510_5799658467006272070_n.jpg?_nc_ht=instagram.fgye1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=0BllCZNS_2YAX8_2KJ_&oh=dc3ca61490de3c39f70df4403d4a9c38&oe=5EE89C9F https://instagram.fgye1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/88961756_873505486406012_9072171132574155610_n.jpg?_nc_ht=instagram.fgye1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=O_552DsGKGsAX9vOMfh&oh=143dadf53c272c04eb835ace714c8d35&oe=5EE71669 https://instagram.fgye1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/88998695_808985416252810_4086556549885682369_n.jpg?_nc_ht=instagram.fgye1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=IQUmfH5z-RgAX_3G_CV&oh=35895a451afcdc16ab71a9759e4ec9a5&oe=5EE8C18E
jamilethreyes_b	Cuando llevas el sol por dentro no importa si llueve fuera☀️......Mas vale tarde que nunca ¿no?Haha el Lunes estuve de cumpleaños 🥳🎂🎉 aprovecho para agradecerles a todos por sus buenos deseos para mi los quiero♥️🥰. #21yearsold	29 de enero de 2020	https://instagram.fgye1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/82912138_177664436883139_976384865021811191_n.jpg?_nc_ht=instagram.fgye1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=v9ZG_9FlJfYAX_HNRIJ&oh=56c54aa1130ef7d27f5e352d1d299dec&oe=5EE8EFC3 https://instagram.fgye1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/82912138_177664436883139_976384865021811191_n.jpg?_nc_ht=instagram.fgye1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=v9ZG_9FlJfYAX_HNRIJ&oh=56c54aa1130ef7d27f5e352d1d299dec&oe=5EE8EFC3 https://instagram.fgye1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/83070373_640981256665415_9209291286684209449_n.jpg?_nc_ht=instagram.fgye1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=gesZBmdfxSMAX8pnwSa&oh=032662dee115a91d937f541776f8002f&oe=5EE889EF https://instagram.fgye1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/84615294_594703644426698_9190642239098902748_n.jpg?_nc_ht=instagram.fgye1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=LLGGATN5UjsAX8Kz4Qt&oh=cbaaa3e60624e8255b05376273e4ea89&oe=5EE973A8 https://instagram.fgye1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/82923027_187981125616165_6618793259217524245_n.jpg?_nc_ht=instagram.fgye1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=LP_-6H4SPQ8AX-RAXwg&oh=3bd24b0f3624d2c78747bd2f6733b288&oe=5EEA7710
municipiogye	Esta noche, nuestra Alcaldesa Cynthia Viteri asistió a la inauguración del nuevo parque Plaza Jerusalem, cuya construcción fue mediante la participación de la empresa privada, y además de ser una atracción turística, cuenta con wifi y brinda información acerca de la historia de Jerusalem mediante tecnología móvil.Durante la construcción del parque se conservaron los árboles y se incrementaron las áreas verdes, donde también se encuentra un modelo a escala de la ciudad de Jerusalem en el siglo I, elaborado por el escultor ecuatoriano Fernando Insua, junto con el resto de obras.	12 de noviembre de 2019	https://instagram.fgye1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/73475409_156428192257544_2005049261034887997_n.jpg?_nc_ht=instagram.fgye1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=xkJp5BYB1F0AX970SwI&oh=07001168276067e07f43035a4d6e87db&oe=5EE78B5A https://instagram.fgye1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/73475409_156428192257544_2005049261034887997_n.jpg?_nc_ht=instagram.fgye1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=xkJp5BYB1F0AX970SwI&oh=07001168276067e07f43035a4d6e87db&oe=5EE78B5A https://instagram.fgye1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/72777573_444844489501444_8779468411981188843_n.jpg?_nc_ht=instagram.fgye1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=Cwzat6ZKQ9sAX9gYY5A&oh=8d84c9d4ce4dce570ab4aacecca474fa&oe=5EE7FD0C https://instagram.fgye1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/72163475_180984003031022_821584812282120562_n.jpg?_nc_ht=instagram.fgye1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=M2j9s_xkCugAX-AJDKV&oh=d74bc5ecaaa88155ade547e69821e45b&oe=5EE8DD06 https://instagram.fgye1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/71523967_535837577198181_4194908350366379337_n.jpg?_nc_ht=instagram.fgye1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=x82r74-otxEAX92E6o6&oh=192ee65c21412996eaee91ca9d71ec08&oe=5EE81103 https://instagram.fgye1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/72781196_164073654789364_2699790108802365408_n.jpg?_nc_ht=instagram.fgye1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=OxB_miSNiT4AX-f8_Bg&oh=47c2d340bb252bcf8934d7c6989b2f51&oe=5EE8840E
aleja_estrella_	Siempre da lo mejor de ti, y lo mejor vendrá ✨🙌🏻	9 de marzo de 2020	https://instagram.fgye1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/89395411_646396246124282_2099335767672173760_n.jpg?_nc_ht=instagram.fgye1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=b-EjebqXb8wAX_qQe-x&oh=6de991bd1cc42bcfe5f78858baf7d4f4&oe=5EE92C13
https://instagram.fgye1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/89395411_646396246124282_2099335767672173760_n.jpg?_nc_ht=instagram.fgye1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=b-EjebqXb8wAX_qQe-x&oh=6de991bd1cc42bcfe5f78858baf7d4f4&oe=5EE92C13
sol_jadafin	You🍫	27 de febrero de 2020	https://instagram.fgye1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/85169427_193529095251032_2756009215593582365_n.jpg?_nc_ht=instagram.fgye1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=l9R1A7vPLI0AX9Z1DkX&oh=396621b401dea85b46a1f51c7582e669&oe=5EE7E737
jocastaintriago	Primero tomaba el sol desde el patio de mi casa (importante recibir vitamina D).🌞.Y ahora he sido acogida en la casa de mi amiga @gabycalaho quien también se convirtió en mi fotografa y bueno terminaremos de pasar la cuarentena juntas y de seguro nos divertiremos mucho🤣🙏.Lo siento hoy es un día cero Makeup, pronto les comparto algo lindo♥️🙏💃	1 de mayo de 2020	https://instagram.fgye1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/95540663_232603801168376_7465762834555338271_n.jpg?_nc_ht=instagram.fgye1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=VWumrRfNtjQAX81CGSN&oh=53d7969cc6875adb1b84e82632dcbdfb&oe=5EE95D74
https://instagram.fgye1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/95540663_232603801168376_7465762834555338271_n.jpg?_nc_ht=instagram.fgye1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=VWumrRfNtjQAX81CGSN&oh=53d7969cc6875adb1b84e82632dcbdfb&oe=5EE95D74
valerievillalva	Viernes de @kotori.ec ❤️🥰...Cerrando la semana trabajando y con mi fotógrafa top, mi dupla @indielaurie 🤩📸	28 de febrero de 2020	https://instagram.fgye1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/87701995_501028020572678_410296496639012650_n.jpg?_nc_ht=instagram.fgye1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=4utkgHJaxHAAX96ehSF&oh=5abf69a994d49298df31aeaf618583b1&oe=5EE896B8
marleysburgersfries	Te gustaría prepararlo en casa?🍟🍟🍟🍟🍟🍟🍟🍟🍟🍟🍟.... Hazlo y sube una foto, veamos cual queda más rica 🤔..#fries #marleysburger #MarleysFullFries #papasfritas #burgers	1 de mayo de 2020	https://instagram.fgye1-1.fna.fbcdn.net/v/t51.2885-15/e35/95612683_1654136961411312_5699686812079388816_n.jpg?_nc_ht=instagram.fgye1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=BERH6llHldgAX8rExal&oh=02b5e1ababf55023a7a05db8d3f76b37&oe=5EE97D4C
alekem2.0	Si los que hablan mal de mi supieran lo que yo pienso de ellos, hablarían peor; lo bueno es que no saben, ya que con ignorarlos, es más que suficiente.#photoshootPH @ferfotografo	28 de febrero de 2020	https://instagram.fgye1-1.fna.fbcdn.net/v/t51.2885-15/e35/83469561_1036639723365798_5028506393175208179_n.jpg?_nc_ht=instagram.fgye1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=hH4RUU1WiDQAX_V1Wn9&oh=604ad60f9b5110b5572a9fc9caad6f80&oe=5EE74717
adum_ftc	✖Un Wacho Atrevido✖#cuarentena #edits	15 de mayo de 2020	https://instagram.fgye1-1.fna.fbcdn.net/v/t51.2885-15/e35/97196000_583436728951776_6892510910759475133_n.jpg?_nc_ht=instagram.fgye1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=AGSQape4YPcAX84cZAq&oh=4c3261bf37d3f4965648c3b6754adf13&oe=5EEA9DF0
case_xpress	InPods 12 (6 Colores)Excelente calidad de sonidoFácil de ParearContáctanos al 0996402519	15 de mayo de 2020	
